Title,Sponsors,Deadline,Amount,Link
"The Human BioMolecular Atlas Program (HuBMAP) Integration, Visualization & Engagement (HIVE) Initiative (OT2 Clinical Trial Not Allowed)",NIH,2018-04-16T00:00:00,2000000,https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-18-001.html
ROSES 2018 - Astrophysics Data Analysis,NASA,2018-05-17T00:00:00,1800000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611944/solicitationId=%7B3E84A8DB-8B71-2451-EB02-2111D9EEA891%7D/viewSolicitationDocument=1/FULL%20ROSES%202018%20Amend1.pdf
ROSES 2018 - Cassini Data Analysis,NASA,2018-08-01T00:00:00,15000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611944/solicitationId=%7BDDBE254F-8633-9B81-4502-4A99BF73EB86%7D/viewSolicitationDocument=1/FULL%20ROSES%202018%20Amend1.pdf
ROSES 2018 - Discovery Data Analysis,NASA,2018-11-01T00:00:00,9000000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611944/solicitationId=%7BDDBE254F-8633-9B81-4502-4A99BF73EB86%7D/viewSolicitationDocument=1/FULL%20ROSES%202018%20Amend1.pdf
ROSES 2018 - Lunar Data Analysis,NASA,2019-02-28T00:00:00,4000000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611944/solicitationId=%7BDDBE254F-8633-9B81-4502-4A99BF73EB86%7D/viewSolicitationDocument=1/FULL%20ROSES%202018%20Amend1.pdf
ROSES 2018 - Mars Data Analysis,NASA,2018-10-25T00:00:00,3000000,https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=611944/solicitationId=%7BDDBE254F-8633-9B81-4502-4A99BF73EB86%7D/viewSolicitationDocument=1/FULL%20ROSES%202018%20Amend1.pdf
National Institute on Aging Genetics of Alzheimer's Disease Data Storage Site (U24),"NIH, NIA",2018-09-25T00:00:00,1000000,https://grants.nih.gov/grants/guide/pa-files/PAR-16-047.html
Cancer-Related Behavioral Research through Integrating Existing Data (R01),"NIH, NCI",2019-06-07T00:00:00,200000,https://grants.nih.gov/grants/guide/pa-files/PAR-16-256.html
Cancer-Related Behavioral Research through Integrating Existing Data (R21),"NIH, NCI",2019-06-14T00:00:00,1500000,https://grants.nih.gov/grants/guide/pa-files/PAR-16-255.html
Secondary Analysis and Integration of Existing Data to Elucidate the Genetic Architecture of Cancer Risk and Related Outcomes (R21),"NIH, NCI, NHGRI, NIDCR",2020-03-16T00:00:00,2000000,https://grants.nih.gov/grants/guide/pa-files/PA-17-243.html
Secondary Analysis and Integration of Existing Data to Elucidate the Genetic Architecture of Cancer Risk and Related Outcomes (R01),"NIH, NCI, NHGRI, NIDCR",2020-03-05T00:00:00,5960000,https://grants.nih.gov/grants/guide/pa-files/PA-17-239.html
Small Research Grants for Analyses of Data for the Gabriella Miller Kids First Data Resource (R03),"NIH, NCI, NHLBI, NICHDNational Institute of Child Health and Human Development, NIDCR, NIAAA, NINDS",2019-07-16T00:00:00,1100000,https://grants.nih.gov/grants/guide/pa-files/PAR-16-348.html
"Perceptual & Cognitive Factors in Real-Life Information Seeking: Theories, Models, & Methods","AFRL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
Research on High-Energy Density and High Power Density Electrochemical Energy Storage Devices,"ARL, NRC Research Associateship ProgramsRAP",2018-11-01T00:00:00,2500000,http://sites.nationalacademies.org/PGA/RAP/PGA_046398
